a	/a/
abatió	/aβaˈtjo/
abatir	/aβatiɾ/
abdicación	/aβðikaˈθjon/
abdicar	/aβðikaɾ/
abdomen	/aβðomen/
abdominal	/aβðominal/
abdominales	/aβðominales/
abducción	/aβðuˈkθjon/
abducciones	/aβðukθjones/
abe	/aβe/
abecedario	/aβeθeðaɾjo/
abedul	/aβeðul/
abedules	/aβeðules/
abeja	/aβexa/
abejas	/aβexas/
abejorro	/aβexoro/
abejorros	/aβexoros/
aberración	/aβeraˈθjon/
aberraciones	/aβeraθjones/
aberrante	/aβerante/
aberrantes	/aβerantes/
abertura	/aβeɾtuɾa/
aberturas	/aβeɾtuɾas/
abeto	/aβeto/
abetos	/aβetos/
abierta	/aβjeɾta/
abiertamente	/aβjeɾtamente/
abiertas	/aβjeɾtas/
abierto	/aβjeɾto/
abiertos	/aβjeɾtos/
abisinia	/aβisinja/
abismal	/aβizmal/
abismo	/aβizmo/
abismos	/aβizmos/
ablación	/aβlaˈθjon/
ablanda	/aβlanda/
ablandado	/aβlandaðo/
ablandan	/aβlandan/
ablandando	/aβlandando/
ablandar	/aβlandaɾ/
ablandarme	/aβlandaɾme/
ablande	/aβlande/
ablandes	/aβlandes/
ablandó	/aβlanˈdo/
abnegación	/aβneɣaˈθjon/
abnegada	/aβneɣaða/
abnegado	/aβneɣaðo/
abofetea	/aβofetea/
abofeteado	/aβofeteaðo/
abofetear	/aβofeteaɾ/
abofetearé	/aβofeteaˈɾe/
abofetearía	/aβofeteaˈɾia/
abofetearla	/aβofeteaɾla/
abofetearlo	/aβofeteaɾlo/
abofeteaste	/aβofeteaste/
abofeteé	/aβofeteˈe/
abofetee	/aβofetee/
abofeteó	/aβofeteˈo/
abofeteo	/aβofeteo/
aboga	/aβoɣa/
abogacía	/aβoɣaˈθia/
abogada	/aβoɣaða/
abogadas	/aβoɣaðas/
abogado	/aβoɣaðo/
abogados	/aβoɣaðos/
abogando	/aβoɣando/
abogar	/aβoɣaɾ/
abolición	/aβoliˈθjon/
abolicionista	/aβoliθjonista/
abolicionistas	/aβoliθjonistas/
abolida	/aβoliða/
abolido	/aβoliðo/
abolió	/aβoˈljo/
abolir	/aβoliɾ/
abollada	/aβoʎaða/
abollado	/aβoʎaðo/
abolladura	/aβoʎaðuɾa/
abolladuras	/aβoʎaðuɾas/
abominable	/aβominaβle/
abominables	/aβominaβles/
abominación	/aβominaˈθjon/
abominaciones	/aβominaθjones/
abonado	/aβonaðo/
abonados	/aβonaðos/
abonar	/aβonaɾ/
abono	/aβono/
abonos	/aβonos/
aborda	/aβoɾða/
abordada	/aβoɾðaða/
abordado	/aβoɾðaðo/
abordados	/aβoɾðaðos/
abordaje	/aβoɾðaxe/
abordamos	/aβoɾðamos/
abordan	/aβoɾðan/
abordando	/aβoɾðando/
abordar	/aβoɾðaɾ/
abordaremos	/aβoɾðaɾemos/
abordarla	/aβoɾðaɾla/
abordarlo	/aβoɾðaɾlo/
abordaron	/aβoɾðaɾon/
abordé	/aβoˈɾðe/
aborde	/aβoɾðe/
abordemos	/aβoɾðemos/
aborden	/aβoɾðen/
abordó	/aβoˈɾðo/
abordo	/aβoɾðo/
aborigen	/aβoɾixen/
aborígenes	/aβoˈɾixenes/
aborrece	/aβoreθe/
aborrecible	/aβoreθiβle/
aborrezco	/aβoreθko/
aborta	/aβoɾta/
abortada	/aβoɾtaða/
abortado	/aβoɾtaðo/
abortados	/aβoɾtaðos/
abortamos	/aβoɾtamos/
abortar	/aβoɾtaɾ/
abortara	/aβoɾtaɾa/
aborté	/aβoˈɾte/
aborte	/aβoɾte/
aborten	/aβoɾten/
abortó	/aβoˈɾto/
aborto	/aβoɾto/
abortos	/aβoɾtos/
abotonado	/aβotonaðo/
abra	/aβɾa/
abracadabra	/aβɾakaðaβɾa/
abracé	/aβɾaˈθe/
abrace	/aβɾaθe/
abracen	/aβɾaθen/
abraces	/aβɾaθes/
abráis	/aˈβɾais/
abramos	/aβɾamos/
abran	/aβɾan/
abras	/aβɾas/
abrasa	/aβɾasa/
abrasado	/aβɾasaðo/
abrasador	/aβɾasaðoɾ/
abrasadora	/aβɾasaðoɾa/
abrasión	/aβɾaˈsjon/
abrasiones	/aβɾasjones/
abraxas	/aβɾaksas/
abraza	/aβɾaθa/
abrazaba	/aβɾaθaβa/
abrazaban	/aβɾaθaβan/
abrazabas	/aβɾaθaβas/
abrazada	/aβɾaθaða/
abrazadera	/aβɾaθaðeɾa/
abrazaderas	/aβɾaθaðeɾas/
abrazado	/aβɾaθaðo/
abrazador	/aβɾaθaðoɾ/
abrazados	/aβɾaθaðos/
abrazamos	/aβɾaθamos/
abrazan	/aβɾaθan/
abrazando	/aβɾaθando/
abrazándome	/aβɾaˈθandome/
abrazándose	/aβɾaˈθandose/
abrazándote	/aβɾaˈθandote/
abrazar	/aβɾaθaɾ/
abrazará	/aβɾaθaˈɾa/
abrazara	/aβɾaθaɾa/
abrazaré	/aβɾaθaˈɾe/
abrazaremos	/aβɾaθaɾemos/
abrazaría	/aβɾaθaˈɾia/
abrazarla	/aβɾaθaɾla/
abrazarle	/aβɾaθaɾle/
abrazarlo	/aβɾaθaɾlo/
abrazarlos	/aβɾaθaɾlos/
abrazarme	/aβɾaθaɾme/
abrazarnos	/aβɾaθaɾnos/
abrazaron	/aβɾaθaɾon/
abrazarse	/aβɾaθaɾse/
abrazarte	/aβɾaθaɾte/
abrazas	/aβɾaθas/
abrazaste	/aβɾaθaste/
abrazó	/aβɾaˈθo/
abrazo	/aβɾaθo/
abrazos	/aβɾaθos/
abre	/aβɾe/
abrecartas	/aβɾekaɾtas/
abrelatas	/aβɾelatas/
abren	/aβɾen/
abres	/aβɾes/
abrevadero	/aβɾeβaðeɾo/
abreviación	/aβɾeβjaˈθjon/
abreviada	/aβɾeβjaða/
abreviado	/aβɾeβjaðo/
abreviar	/aβɾeβjaɾ/
abreviatura	/aβɾeβjatuɾa/
abreviaturas	/aβɾeβjatuɾas/
abrí	/aˈβɾi/
abría	/aˈβɾia/
abríamos	/aˈβɾiamos/
abrían	/aˈβɾian/
abrías	/aˈβɾias/
abrid	/aβɾið/
abridor	/aβɾiðoɾ/
abriendo	/aβɾjendo/
abriéndome	/aˈβɾjendome/
abriéndose	/aˈβɾjendose/
abriera	/aβɾjeɾa/
abriéramos	/aˈβɾjeɾamos/
abrieran	/aβɾjeɾan/
abrieras	/aβɾjeɾas/
abrieron	/aβɾjeɾon/
abriese	/aβɾjese/
abriga	/aβɾiɣa/
abrigada	/aβɾiɣaða/
abrigado	/aβɾiɣaðo/
abrigados	/aβɾiɣaðos/
abrigar	/aβɾiɣaɾ/
abrigarte	/aβɾiɣaɾte/
abrigo	/aβɾiɣo/
abrigos	/aβɾiɣos/
abril	/aβɾil/
abrillantar	/aβɾiʎantaɾ/
abrimos	/aβɾimos/
abrió	/aˈβɾjo/
abrir	/aβɾiɾ/
abrirá	/aβɾiˈɾa/
abrirán	/aβɾiˈɾan/
abrirás	/aβɾiˈɾas/
abriré	/aβɾiˈɾe/
abriremos	/aβɾiɾemos/
abriría	/aβɾiˈɾia/
abrirían	/aβɾiˈɾian/
abrirías	/aβɾiˈɾias/
abrirla	/aβɾiɾla/
abrirlas	/aβɾiɾlas/
abrirle	/aβɾiɾle/
abrirles	/aβɾiɾles/
abrirlo	/aβɾiɾlo/
abrirlos	/aβɾiɾlos/
abrirme	/aβɾiɾme/
abrirnos	/aβɾiɾnos/
abrirse	/aβɾiɾse/
abrirte	/aβɾiɾte/
abrís	/aˈβɾis/
abriste	/aβɾiste/
abro	/aβɾo/
abrocha	/aβɾotʃa/
abrochado	/aβɾotʃaðo/
abrochadora	/aβɾotʃaðoɾa/
abrochados	/aβɾotʃaðos/
abrochar	/aβɾotʃaɾ/
abroche	/aβɾotʃe/
abrochen	/aβɾotʃen/
abruma	/aβɾuma/
abrumada	/aβɾumaða/
abrumado	/aβɾumaðo/
abrumador	/aβɾumaðoɾ/
abrumadora	/aβɾumaðoɾa/
abrumadoras	/aβɾumaðoɾas/
abrumados	/aβɾumaðos/
abruman	/aβɾuman/
abrumar	/aβɾumaɾ/
abrupta	/aβɾupta/
abruptamente	/aβɾuptamente/
abrupto	/aβɾupto/
absceso	/aβsθeso/
abscesos	/aβsθesos/
absentismo	/aβsentizmo/
absolución	/aβsoluˈθjon/
absoluta	/aβsoluta/
absolutamente	/aβsolutamente/
absolutas	/aβsolutas/
absoluto	/aβsoluto/
absolutos	/aβsolutos/
absolver	/aβsolβeɾ/
absolvieron	/aβsolβjeɾon/
absolvió	/aβsoˈlβjo/
absorba	/aβsoɾβa/
absorbe	/aβsoɾβe/
absorben	/aβsoɾβen/
absorbente	/aβsoɾβente/
absorbentes	/aβsoɾβentes/
absorber	/aβsoɾβeɾ/
absorberá	/aβsoɾβeˈɾa/
absorbí	/aβsoɾˈβi/
absorbía	/aβsoɾˈβia/
absorbida	/aβsoɾβiða/
absorbido	/aβsoɾβiðo/
absorbidos	/aβsoɾβiðos/
absorbiendo	/aβsoɾβjendo/
absorbió	/aβsoɾˈβjo/
absorción	/aβsoˈɾθjon/
absorta	/aβsoɾta/
absorto	/aβsoɾto/
absortos	/aβsoɾtos/
abstemia	/aβstemja/
abstemio	/aβstemjo/
abstención	/aβstenˈθjon/
abstenerme	/aβsteneɾme/
abstenerse	/aβsteneɾse/
abstenerte	/aβsteneɾte/
abstenga	/aβsteŋga/
abstengo	/aβsteŋgo/
abstiene	/aβstjene/
abstinencia	/aβstinenθja/
abstracción	/aβstɾaˈkθjon/
abstracta	/aβstɾakta/
abstractas	/aβstɾaktas/
abstracto	/aβstɾakto/
abstractos	/aβstɾaktos/
absuelta	/aβswelta/
absuelto	/aβswelto/
absueltos	/aβsweltos/
absuelva	/aβswelβa/
absuelvan	/aβswelβan/
absuelve	/aβswelβe/
absuelven	/aβswelβen/
absuelvo	/aβswelβo/
absurda	/aβsuɾða/
absurdas	/aβsuɾðas/
absurdo	/aβsuɾðo/
absurdos	/aβsuɾðos/
abuchear	/aβutʃeaɾ/
abucheo	/aβutʃeo/
abucheos	/aβutʃeos/
abuela	/aβwela/
abuelas	/aβwelas/
abuelo	/aβwelo/
abuelos	/aβwelos/
abultada	/aβultaða/
abultado	/aβultaðo/
abunda	/aβunda/
abundan	/aβundan/
abundancia	/aβundanθja/
abundante	/aβundante/
abundantemente	/aβundantemente/
abundantes	/aβundantes/
aburra	/aβura/
aburran	/aβuran/
aburras	/aβuras/
aburre	/aβure/
aburren	/aβuren/
aburres	/aβures/
aburrí	/aβuˈri/
aburría	/aβuˈria/
aburrías	/aβuˈrias/
aburrida	/aβuriða/
aburridas	/aβuriðas/
aburrido	/aβuriðo/
aburridos	/aβuriðos/
aburriendo	/aβurjendo/
aburrieron	/aβurjeɾon/
aburrimiento	/aβurimjento/
aburrimos	/aβurimos/
aburrió	/aβuˈrjo/
aburrir	/aβuriɾ/
aburrirá	/aβuriˈɾa/
aburrirás	/aβuriˈɾas/
aburriré	/aβuriˈɾe/
aburriría	/aβuriˈɾia/
aburrirías	/aβuriˈɾias/
aburrirme	/aβuriɾme/
aburrirnos	/aβuriɾnos/
aburrirse	/aβuriɾse/
aburrirte	/aβuriɾte/
aburriste	/aβuriste/
aburro	/aβuro/
abusa	/aβusa/
abusaba	/aβusaβa/
abusaban	/aβusaβan/
abusada	/aβusaða/
abusadas	/aβusaðas/
abusado	/aβusaðo/
abusador	/aβusaðoɾ/
abusadora	/aβusaðoɾa/
abusadores	/aβusaðoɾes/
abusados	/aβusaðos/
abusan	/aβusan/
abusando	/aβusando/
abusar	/aβusaɾ/
abusara	/aβusaɾa/
abusaron	/aβusaɾon/
abusas	/aβusas/
abusaste	/aβusaste/
abusé	/aβuˈse/
abuse	/aβuse/
abusen	/aβusen/
abuses	/aβuses/
abusiva	/aβusiβa/
abusivas	/aβusiβas/
abusivo	/aβusiβo/
abusivos	/aβusiβos/
abusó	/aβuˈso/
abuso	/aβuso/
abusón	/aβuˈson/
abusona	/aβusona/
abusones	/aβusones/
abusos	/aβusos/
abyecta	/aβʝekta/
abyecto	/aβʝekto/
acá	/aˈka/
acaba	/akaβa/
acababa	/akaβaβa/
acabábamos	/akaˈβaβamos/
acababan	/akaβaβan/
acababas	/akaβaβas/
acabad	/akaβað/
acabada	/akaβaða/
acabadas	/akaβaðas/
acabado	/akaβaðo/
acabados	/akaβaðos/
acabáis	/akaˈβais/
acabalo	/akaβalo/
acabamos	/akaβamos/
acaban	/akaβan/
acabando	/akaβando/
acabar	/akaβaɾ/
acabará	/akaβaˈɾa/
acabara	/akaβaɾa/
acabáramos	/akaˈβaɾamos/
acabarán	/akaβaˈɾan/
acabaran	/akaβaɾan/
acabarás	/akaβaˈɾas/
acabaras	/akaβaɾas/
acabaré	/akaβaˈɾe/
acabare	/akaβaɾe/
acabaréis	/akaβaˈɾeis/
acabaremos	/akaβaɾemos/
acabaría	/akaβaˈɾia/
acabaríamos	/akaβaˈɾiamos/
acabarían	/akaβaˈɾian/
acabarías	/akaβaˈɾias/
acabarla	/akaβaɾla/
acabarlo	/akaβaɾlo/
acabarlos	/akaβaɾlos/
acabarme	/akaβaɾme/
acabaron	/akaβaɾon/
acabarse	/akaβaɾse/
acabarte	/akaβaɾte/
acabas	/akaβas/
acabase	/akaβase/
acabaste	/akaβaste/
acabé	/akaˈβe/
acabe	/akaβe/
acabéis	/akaˈβeis/
acabemos	/akaβemos/
acaben	/akaβen/
acabes	/akaβes/
acabó	/akaˈβo/
acabo	/akaβo/
acacia	/akaθja/
acacias	/akaθjas/
academia	/akaðemja/
academias	/akaðemjas/
académica	/akaˈðemika/
académicamente	/akaˈðemikamente/
académicas	/akaˈðemikas/
académico	/akaˈðemiko/
académicos	/akaˈðemikos/
acallar	/akaʎaɾ/
acalorada	/akaloɾaða/
acalorado	/akaloɾaðo/
acampa	/akampa/
acampada	/akampaða/
acampado	/akampaðo/
acampados	/akampaðos/
acampamos	/akampamos/
acampan	/akampan/
acampando	/akampando/
acampar	/akampaɾ/
acamparemos	/akampaɾemos/
acamparon	/akampaɾon/
acampemos	/akampemos/
acampó	/akaˈmpo/
acantilado	/akantilaðo/
acantilados	/akantilaðos/
acantonamiento	/akantonamjento/
acapara	/akapaɾa/
acaparado	/akapaɾaðo/
acaparador	/akapaɾaðoɾ/
acaparadores	/akapaɾaðoɾes/
acaparamiento	/akapaɾamjento/
acaparando	/akapaɾando/
acaparar	/akapaɾaɾ/
acapares	/akapaɾes/
acaramelada	/akaɾamelaða/
acarameladas	/akaɾamelaðas/
acaricia	/akaɾiθja/
acariciaba	/akaɾiθjaβa/
acariciado	/akaɾiθjaðo/
acarician	/akaɾiθjan/
acariciando	/akaɾiθjando/
acariciar	/akaɾiθjaɾ/
acariciarla	/akaɾiθjaɾla/
acariciarle	/akaɾiθjaɾle/
acariciarlo	/akaɾiθjaɾlo/
acariciarme	/akaɾiθjaɾme/
acariciarte	/akaɾiθjaɾte/
acaricias	/akaɾiθjas/
acaricié	/akaɾiˈθje/
acaricie	/akaɾiθje/
acaricien	/akaɾiθjen/
acaricies	/akaɾiθjes/
acarició	/akaɾiˈθjo/
acaricio	/akaɾiθjo/
ácaros	/ˈakaɾos/
acarrea	/akarea/
acarreando	/akareando/
acarrear	/akareaɾ/
acarreo	/akareo/
acaso	/akaso/
acatar	/akataɾ/
acaudalada	/akauðalaða/
acaudalado	/akauðalaðo/
acaudalados	/akauðalaðos/
acceda	/akθeða/
accedan	/akθeðan/
accedas	/akθeðas/
accede	/akθeðe/
accedemos	/akθeðemos/
acceden	/akθeðen/
acceder	/akθeðeɾ/
accederá	/akθeðeˈɾa/
accederé	/akθeðeˈɾe/
accedería	/akθeðeˈɾia/
accedes	/akθeðes/
accedí	/akθeˈði/
accedía	/akθeˈðia/
accedido	/akθeðiðo/
accediendo	/akθeðjendo/
accediera	/akθeðjeɾa/
accedieron	/akθeðjeɾon/
accedimos	/akθeðimos/
accedió	/akθeˈðjo/
accediste	/akθeðiste/
accedo	/akθeðo/
accesibilidad	/akθesiβiliðað/
accesible	/akθesiβle/
accesibles	/akθesiβles/
acceso	/akθeso/
accesorio	/akθesoɾjo/
accesorios	/akθesoɾjos/
accesos	/akθesos/
accidentada	/akθiðentaða/
accidentado	/akθiðentaðo/
accidentados	/akθiðentaðos/
accidental	/akθiðental/
accidentales	/akθiðentales/
accidentalmente	/akθiðentalmente/
accidente	/akθiðente/
accidentes	/akθiðentes/
accidentó	/akθiðenˈto/
acción	/aˈkθjon/
acciona	/akθjona/
accionado	/akθjonaðo/
accionar	/akθjonaɾ/
acciones	/akθjones/
accionista	/akθjonista/
accionistas	/akθjonistas/
accionó	/akθjoˈno/
acebo	/aθeβo/
acecha	/aθetʃa/
acechaba	/aθetʃaβa/
acechado	/aθetʃaðo/
acechador	/aθetʃaðoɾ/
acechan	/aθetʃan/
acechando	/aθetʃando/
acechar	/aθetʃaɾ/
acechó	/aθeˈtʃo/
acecho	/aθetʃo/
aceitada	/aθeitaða/
aceite	/aθeite/
aceites	/aθeites/
aceitosa	/aθeitosa/
aceitoso	/aθeitoso/
aceituna	/aθeituna/
aceitunas	/aθeitunas/
acelera	/aθeleɾa/
aceleraba	/aθeleɾaβa/
aceleración	/aθeleɾaˈθjon/
acelerada	/aθeleɾaða/
acelerado	/aθeleɾaðo/
acelerador	/aθeleɾaðoɾ/
aceleradores	/aθeleɾaðoɾes/
acelerados	/aθeleɾaðos/
aceleramos	/aθeleɾamos/
aceleran	/aθeleɾan/
acelerando	/aθeleɾando/
acelerar	/aθeleɾaɾ/
acelerará	/aθeleɾaˈɾa/
aceleraría	/aθeleɾaˈɾia/
acelerarlo	/aθeleɾaɾlo/
aceleraron	/aθeleɾaɾon/
acelerarse	/aθeleɾaɾse/
aceleras	/aθeleɾas/
aceleré	/aθeleˈɾe/
acelere	/aθeleɾe/
aceleremos	/aθeleɾemos/
aceleren	/aθeleɾen/
aceleres	/aθeleɾes/
aceleró	/aθeleˈɾo/
acelero	/aθeleɾo/
acento	/aθento/
acentos	/aθentos/
acentúa	/aθenˈtua/
acentuado	/aθentwaðo/
acentuar	/aθentwaɾ/
acepta	/aθepta/
aceptaba	/aθeptaβa/
aceptaban	/aθeptaβan/
aceptabas	/aθeptaβas/
aceptable	/aθeptaβle/
aceptables	/aθeptaβles/
aceptación	/aθeptaˈθjon/
aceptad	/aθeptað/
aceptada	/aθeptaða/
aceptadas	/aθeptaðas/
aceptado	/aθeptaðo/
aceptados	/aθeptaðos/
aceptáis	/aθeˈptais/
aceptamos	/aθeptamos/
aceptan	/aθeptan/
aceptando	/aθeptando/
aceptándolo	/aθeˈptandolo/
aceptar	/aθeptaɾ/
aceptará	/aθeptaˈɾa/
aceptara	/aθeptaɾa/
aceptarán	/aθeptaˈɾan/
aceptaran	/aθeptaɾan/
aceptarás	/aθeptaˈɾas/
aceptaras	/aθeptaɾas/
aceptaré	/aθeptaˈɾe/
aceptare	/aθeptaɾe/
aceptaremos	/aθeptaɾemos/
aceptaría	/aθeptaˈɾia/
aceptaríamos	/aθeptaˈɾiamos/
aceptarían	/aθeptaˈɾian/
aceptarías	/aθeptaˈɾias/
aceptarla	/aθeptaɾla/
aceptarlas	/aθeptaɾlas/
aceptarle	/aθeptaɾle/
aceptarlo	/aθeptaɾlo/
aceptarlos	/aθeptaɾlos/
aceptarme	/aθeptaɾme/
aceptarnos	/aθeptaɾnos/
aceptaron	/aθeptaɾon/
aceptarse	/aθeptaɾse/
aceptarte	/aθeptaɾte/
aceptas	/aθeptas/
aceptase	/aθeptase/
aceptaste	/aθeptaste/
acepté	/aθeˈpte/
acepte	/aθepte/
aceptéis	/aθeˈpteis/
aceptemos	/aθeptemos/
acepten	/aθepten/
aceptes	/aθeptes/
aceptó	/aθeˈpto/
acepto	/aθepto/
acequia	/aθekja/
acera	/aθeɾa/
aceras	/aθeɾas/
acerca	/aθeɾka/
acercaba	/aθeɾkaβa/
acercábamos	/aθeˈɾkaβamos/
acercaban	/aθeɾkaβan/
acercabas	/aθeɾkaβas/
acercado	/aθeɾkaðo/
acercáis	/aθeˈɾkais/
acercamiento	/aθeɾkamjento/
acercamientos	/aθeɾkamjentos/
acercamos	/aθeɾkamos/
acercan	/aθeɾkan/
acercando	/aθeɾkando/
acercándome	/aθeˈɾkandome/
acercándonos	/aθeˈɾkandonos/
acercándose	/aθeˈɾkandose/
acercándote	/aθeˈɾkandote/
acercar	/aθeɾkaɾ/
acercará	/aθeɾkaˈɾa/
acercara	/aθeɾkaɾa/
acercarán	/aθeɾkaˈɾan/
acercaran	/aθeɾkaɾan/
acercarás	/aθeɾkaˈɾas/
acercaras	/aθeɾkaɾas/
acercaré	/aθeɾkaˈɾe/
acercaremos	/aθeɾkaɾemos/
acercaría	/aθeɾkaˈɾia/
acercarlo	/aθeɾkaɾlo/
acercarme	/aθeɾkaɾme/
acercarnos	/aθeɾkaɾnos/
acercaron	/aθeɾkaɾon/
acercaros	/aθeɾkaɾos/
acercarse	/aθeɾkaɾse/
acercarte	/aθeɾkaɾte/
acercas	/aθeɾkas/
acercase	/aθeɾkase/
acercaste	/aθeɾkaste/
acercó	/aθeˈɾko/
acerco	/aθeɾko/
acería	/aθeˈɾia/
acero	/aθeɾo/
acerola	/aθeɾola/
aceros	/aθeɾos/
acerqué	/aθeˈɾke/
acerque	/aθeɾke/
acerquéis	/aθeˈɾkeis/
acerquemos	/aθeɾkemos/
acerquen	/aθeɾken/
acerques	/aθeɾkes/
acérrimo	/aˈθerimo/
acérrimos	/aˈθerimos/
acertada	/aθeɾtaða/
acertadas	/aθeɾtaðas/
acertado	/aθeɾtaðo/
acertados	/aθeɾtaðos/
acertamos	/aθeɾtamos/
acertar	/aθeɾtaɾ/
acertarle	/aθeɾtaɾle/
acertaron	/aθeɾtaɾon/
acertaste	/aθeɾtaste/
acerté	/aθeˈɾte/
acertijo	/aθeɾtixo/
acertijos	/aθeɾtixos/
acertó	/aθeˈɾto/
acetato	/aθetato/
acetileno	/aθetileno/
acetona	/aθetona/
achaques	/atʃakes/
achica	/atʃika/
achicando	/atʃikando/
achicar	/atʃikaɾ/
achicharrado	/atʃitʃaraðo/
achicoria	/atʃikoɾja/
achispado	/atʃispaðo/
aciago	/aθjaɣo/
acicalado	/aθikalaðo/
ácida	/ˈaθiða/
ácidas	/ˈaθiðas/
acidez	/aθiðeθ/
ácido	/ˈaθiðo/
ácidos	/ˈaθiðos/
acidosis	/aθiðosis/
acierta	/aθjeɾta/
aciertan	/aθjeɾtan/
aciertas	/aθjeɾtas/
acierte	/aθjeɾte/
acierto	/aθjeɾto/
aciertos	/aθjeɾtos/
aclama	/aklama/
aclamación	/aklamaˈθjon/
aclamaciones	/aklamaθjones/
aclamada	/aklamaða/
aclamado	/aklamaðo/
aclaman	/aklaman/
aclamando	/aklamando/
aclamar	/aklamaɾ/
aclara	/aklaɾa/
aclaraba	/aklaɾaβa/
aclaración	/aklaɾaˈθjon/
aclaraciones	/aklaɾaθjones/
aclarada	/aklaɾaða/
aclarado	/aklaɾaðo/
aclaramos	/aklaɾamos/
aclaran	/aklaɾan/
aclarando	/aklaɾando/
aclarar	/aklaɾaɾ/
aclarará	/aklaɾaˈɾa/
aclarara	/aklaɾaɾa/
aclararán	/aklaɾaˈɾan/
aclararé	/aklaɾaˈɾe/
aclararemos	/aklaɾaɾemos/
aclararía	/aklaɾaˈɾia/
aclararle	/aklaɾaɾle/
aclararles	/aklaɾaɾles/
aclararlo	/aklaɾaɾlo/
aclararme	/aklaɾaɾme/
aclararnos	/aklaɾaɾnos/
aclararon	/aklaɾaɾon/
aclararse	/aklaɾaɾse/
aclararte	/aklaɾaɾte/
aclaras	/aklaɾas/
aclaraste	/aklaɾaste/
aclaré	/aklaˈɾe/
aclare	/aklaɾe/
aclaremos	/aklaɾemos/
aclaren	/aklaɾen/
aclares	/aklaɾes/
aclaró	/aklaˈɾo/
aclaro	/aklaɾo/
acné	/aˈkne/
acobarda	/akoβaɾða/
acobardado	/akoβaɾðaðo/
acobardando	/akoβaɾðando/
acobardas	/akoβaɾðas/
acobardaste	/akoβaɾðaste/
acobardé	/akoβaˈɾðe/
acobardes	/akoβaɾðes/
acobardó	/akoβaˈɾðo/
acoge	/akoxe/
acogedor	/akoxeðoɾ/
acogedora	/akoxeðoɾa/
acogedoras	/akoxeðoɾas/
acogedores	/akoxeðoɾes/
acogemos	/akoxemos/
acogen	/akoxen/
acoger	/akoxeɾ/
acogerá	/akoxeˈɾa/
acogerme	/akoxeɾme/
acogernos	/akoxeɾnos/
acogerte	/akoxeɾte/
acogí	/akoˈxi/
acogida	/akoxiða/
acogido	/akoxiðo/
acogiendo	/akoxjendo/
acogieron	/akoxjeɾon/
acogimos	/akoximos/
acogió	/akoˈxjo/
acoja	/akoxa/
acojo	/akoxo/
acolchada	/akoltʃaða/
acolchado	/akoltʃaðo/
acolchados	/akoltʃaðos/
acólito	/aˈkolito/
acólitos	/aˈkolitos/
acomoda	/akomoða/
acomodada	/akomoðaða/
acomodado	/akomoðaðo/
acomodador	/akomoðaðoɾ/
acomodadores	/akomoðaðoɾes/
acomodados	/akomoðaðos/
